Waterbody Type,Segment ID,Waterbody Index Number (WIN),Name,Description,Basin,Segment Miles,6NYCRR Chapter X Part,Water Quality Class
Streams,0102-0031,Ont 158-12-11-1,"Murder Creek, Lower, and tribs","stream and tribs, from mouth to Corfu",Niagara River/Lake Erie,75.51,837,C
Streams,0102-0032,Ont 158-12-11-1,"Murder Creek, Upper, and tribs","stream and tribs, above Corfu",Niagara River/Lake Erie,106.16,837,C
Streams,0102-0034,Ont 158-12-11-1-P13-,Tribs to Akron Reservoir,total length of all tribs to Akron Reservoir,Niagara River/Lake Erie,5.54,837,A
Streams,0102-0036,Ont 158-12-28,Bowen Brook and tribs,entire stream and tribs,Niagara River/Lake Erie,60.63,837,C
Streams,0102-0037,Ont 158-12-32,"Little Tonawanda Creek, Upper, and tribs","stream and tribs, above Linden",Niagara River/Lake Erie,54.84,837,A(T)
Streams,0102-0038,Ont 158-12-41,Tannery Brook and tribs,entire stream and tribs,Niagara River/Lake Erie,14.69,837,A
Streams,0102-0041,Ont 158-12-66,Stony Brook and tribs,entire stream and tribs,Niagara River/Lake Erie,24.95,837,A
Streams,0102-0042,Ont 158-12-77,East Fork and tribs,entire stream and tribs,Niagara River/Lake Erie,48.47,837,A
Streams,0103-0001,Ont 158..E- 1,"Buffalo River, Main Stem","entire stream and tribs, from mouth to Cayuga Creek",Niagara River/Lake Erie,8.63,837,C
Streams,0103-0002,Ont 158..E- 1- 6,"Cayuga Creek, Upper, and tribs","stream and selected tribs, above Folsomdale",Niagara River/Lake Erie,57.25,837,B
Streams,0103-0003,Ont 158..E- 1*,"Buffalo Creek, Lower, and minor tribs","stream and tribs, from mouth to trib -18",Niagara River/Lake Erie,63.53,837,B
Streams,0103-0004,Ont 158..E- 1*,"Buffalo Creek, Upper, and minor tribs","stream and tribs, above East Elma",Niagara River/Lake Erie,285.07,865,A
Streams,0103-0007,Ont 158..E- 1- 6,"Cayuga Creek, Lower, and tribs","stream and selected tribs, from mouth to Lancaster",Niagara River/Lake Erie,13.54,837,C
Streams,0103-0008,Ont 158..E- 1- 6- 7,Little Buffalo Creek and tribs,entire stream and tribs,Niagara River/Lake Erie,74.42,837,C
Streams,0103-0009,Ont 158..E- 1- 4,Cazenovia Creek and tribs,"stream and tribs, from mouth to near East Aurora",Niagara River/Lake Erie,51.68,837,B
Streams,0103-0011,Ont 158..E- 1- 4-14,"East Br. Cazenovia, Lower, and tribs","stream and tribs, from mouth to South Wales",Niagara River/Lake Erie,33.92,837,B
Streams,0103-0012,Ont 158..E- 1- 4-14,"East Br. Cazenovia, Upper, and tribs","stream and tribs, above South Wales",Niagara River/Lake Erie,93.69,837,B
Streams,0103-0013,Ont 158..E- 1- 4-15,"West Br. Cazenovia, Lower, and tribs","stream and tribs, from mouth to West Falls",Niagara River/Lake Erie,25.03,837,B
Streams,0103-0014,Ont 158..E- 1- 4-15,"West Br. Cazenovia, Upper, minor tribs","stream and tribs, above West Falls",Niagara River/Lake Erie,73.82,837,B
Streams,0103-0015,Ont 158..E- 1- 4-15-10,Pipe Creek and tribs,entire stream and tribs,Niagara River/Lake Erie,18.55,837,A
Streams,0103-0017,Ont 158..E- 1- 6,"Cayuga Creek, Middle, and minor tribs","stream and selected tribs, from Lancaster to Folsomdale",Niagara River/Lake Erie,116.6,837,B
Streams,0103-0018,Ont 158..E- 1- 6- 2,Slate Bottom Creek and tribs,entire stream and tribs,Niagara River/Lake Erie,26.59,837,C
Streams,0103-0019,Ont 158..E- 1- 6- 6,Plumb Bottom Creek and tribs,entire stream and tribs,Niagara River/Lake Erie,27.22,837,C
Streams,0103-0020,Ont 158..E- 1- 6-30,Right Branch/Gillett Creek and tribs,entire stream and tribs,Niagara River/Lake Erie,30.13,837,C
Streams,0104-0003,Ont 158..E-23-19,"Point Peter Brook, Upper, and tribs","stream and tribs, above reservoir dam",Niagara River/Lake Erie,14.85,838,A(T)
Streams,0104-0005,Ont 158..E-23 (portion 5),"Cattaraugus Cr, Upper, and tribs","stream and selected tribs, above Stillman Corners",Niagara River/Lake Erie,190.26,838,C(T)
Streams,0104-0006,Ont 158..E-23-20,"South Br. Cattaraugus, Lower, and tribs","stream and tribs, from mouth to near Otto",Niagara River/Lake Erie,97.49,838,C(T)
Streams,0104-0008,Ont 158..E-23-48,"Elton Creek, Lower, and tribs","stream and tribs, from mouth to Delevan",Niagara River/Lake Erie,43.4,838,C(TS)
Streams,0104-0013,Ont 158..E-20,"Big Sister Creek, Lower, and tribs","stream and tribs, from mouth to Pontiac",Niagara River/Lake Erie,19.48,835,C
Streams,0104-0016,Ont 158..E-13- 4,"South Br. Eighteenmile, Lower, and tribs","stream and tribs, from mouth to New Oregon",Niagara River/Lake Erie,77.78,837,B
Streams,0104-0017,Ont 158..E-13,"Eighteenmile Creek, Middle, and tribs","stream and tribs, from Hamburg to Patchin",Niagara River/Lake Erie,49.48,837,A
Streams,0104-0018,Ont 158..E- 3,Rush Creek and tribs,entire stream and tribs,Niagara River/Lake Erie,17.21,837,C
Streams,0104-0020,Ont 158..E-23 (portion 4),"Cattaraugus Cr, Middle, Main Stem","stream and selected tribs, Springville to Stillman Cnrs",Niagara River/Lake Erie,13.14,838,B
Streams,0104-0021,Ont 158..E-23-32,Spring Brook and tribs,entire stream and tribs,Niagara River/Lake Erie,16.3,838,C
Streams,0104-0024,Ont 158..E-23- 6,"Clear Creek, Lower, and tribs","stream and tribs, from mouth to Taylor Hollow",Niagara River/Lake Erie,11.35,838,C(TS)
Streams,0104-0025,Ont 158..E-23 (portion 3),"Cattaraugus Cr, Middle, Main Stem","stream and selected tribs, fr Gowanda to Springville",Niagara River/Lake Erie,21.83,838,B
Streams,0104-0029,Ont 158..E-23 (portion 1),"Cattaraugus Cr, Lower, Main Stem","stream and selected tribs, from mouth to Iroquois",Niagara River/Lake Erie,10,838,B(T)
Streams,0104-0030,Ont 158..E-13,"Eighteenmile Creek, Lower, minor tribs","stream and selected tribs, from mouth to Hamburg",Niagara River/Lake Erie,30.76,837,B(T)
Streams,0104-0031,Ont 158..E-23-56,Clear Creek and tribs,entire stream and tribs,Niagara River/Lake Erie,74.16,838,C(TS)
Streams,0104-0038,Ont 158..E- 4 thru 12,Minor Tribs to Lake Erie,"total length of tribs to L Erie, Rush to Eighteenmile",Niagara River/Lake Erie,31.07,837,C
Streams,0104-0039,Ont 158..E-13,"Eighteenmile Creek, Upper, and tribs","stream and tribs, above Patchin",Niagara River/Lake Erie,72.32,837,A
Streams,0104-0040,Ont 158..E-13- 4,"South Br. Eighteenmile, Upper, and tribs","stream and tribs, above New Oregon",Niagara River/Lake Erie,21.7,837,C
Streams,0104-0041,Ont 158..E-13- 6,Hampton Brook and tribs,entire stream and tribs,Niagara River/Lake Erie,16.73,837,B
Streams,0104-0042,Ont 158..E-14 thru 22 (selected),Minor Tribs to Lake Erie,"total length of selected tribs, 18-mile to Cattaraugus",Niagara River/Lake Erie,9.44,838,B
Streams,0104-0043,Ont 158..E-15,"Pike Creek, Lower, and tribs","stream and tribs, from mouth to Route 5",Niagara River/Lake Erie,1.03,838,B
Streams,0104-0044,Ont 158..E-15,"Pike Creek, Upper, and tribs","stream and tribs, above Route 5",Niagara River/Lake Erie,7.28,838,C
Streams,0104-0045,Ont 158..E-19,"Little Sister Creek, Lower, and tribs","stream and tribs, from mouth to Route 5",Niagara River/Lake Erie,4.04,838,B
Streams,0104-0046,Ont 158..E-19,"Little Sister Creek, Upper, and tribs","stream and tribs, above Route 5",Niagara River/Lake Erie,13.66,838,C
Streams,0104-0047,Ont 158..E-20,"Big Sister Creek, Upper, and tribs","stream and tribs, above Pontiac",Niagara River/Lake Erie,51.4,835,C
Streams,0104-0048,Ont 158..E-20-13,Rythus Creek and tribs,entire stream and tribs,Niagara River/Lake Erie,19.41,835,C
Streams,0104-0049,Ont 158..E-21,"Delaware Creek, Lower, and tribs","stream and tribs, from mouth to Route 5",Niagara River/Lake Erie,2.47,838,B(TS)
Streams,0104-0050,Ont 158..E-21,"Delaware Creek, Upper, and tribs","stream and tribs, above Route 5",Niagara River/Lake Erie,20.53,838,C
Streams,0104-0051,Ont 158..E-22,"Muddy Creek, Lower, and tribs","stream and tribs, from mouth to tribs -a",Niagara River/Lake Erie,2.43,838,B
Streams,0104-0052,Ont 158..E-22,"Muddy Creek, Upper, and tribs","stream and tribs, above trib -a",Niagara River/Lake Erie,22.33,838,C
Streams,0104-0053,Ont 158..E-23 (portion 2),"Cattaraugus Cr, Middle, Main Stem","stream and tribs, from Iroquois to Gowanda",Niagara River/Lake Erie,9.14,838,C(T)
Streams,0104-0054,Ont 158..E-23- 6,"Clear Creek, Upper, and tribs","stream and tribs, above Taylor Hollow",Niagara River/Lake Erie,97.51,838,C(T)
Streams,0104-0055,Ont 158..E-23- 6-4,"North Branch Clear Cr, Lower, and tribs","stream and tribs, from mouth to Clear Lake",Niagara River/Lake Erie,34.83,838,C
Streams,0104-0056,Ont 158..E-23- 6-4,"North Branch Clear Cr, Upper, and tribs","stream and tribs, above Clear Lake",Niagara River/Lake Erie,13.19,838,A
Streams,0104-0058,Ont 158..E-23-20,"South Br. Cattaraugus, Upper, and tribs","stream and tribs, above Otto",Niagara River/Lake Erie,79.97,838,C(T)
Streams,0104-0059,Ont 158..E-23-20-11,Mansfield Creek and tribs,entire stream and tribs,Niagara River/Lake Erie,92.97,838,C(T)
Streams,0104-0061,Ont 158..E-23-27,"Connoisarauley Creek, Lower, and tribs","stream and tribs, from mouth to Near Ashford Hollow",Niagara River/Lake Erie,39.04,838,B(TS)
Streams,0104-0062,Ont 158..E-23-27,"Connoisarauley Creek, Upper, and tribs","stream and tribs, above Ashford Hollow",Niagara River/Lake Erie,20.57,898,C(T)
Streams,0104-0063,Ont 158..E-23-33,Buttermilk Creek and tribs,entire stream and tribs,Niagara River/Lake Erie,81.13,839,C
Streams,0104-0064,Ont 158..E-23-48,"Elton Creek, Upper, and tribs","stream and tribs, above Delevan",Niagara River/Lake Erie,82.22,839,C(T)
Streams,0104-0065,Ont 158..E-23-48-3,Lime Lake Outlet and tribs,entire stream and tribs,Niagara River/Lake Erie,34.53,838,C(TS)
Streams,0104-0072,Ont 158..E-24,Halfway Brook and tribs,entire stream and tribs,Niagara River/Lake Erie,6.11,836,C(TS)
Streams,0104-0073,Ont 158..E-23- 1 thru 18 (selected),Minor Tribs to Cattaraugus Creek,"total length of selected tribs, from mouth to Gowanda",Niagara River/Lake Erie,151.41,838,C
Streams,0104-0074,Ont 158..E-23-19 thru 31 (selected),Minor Tribs to Cattaraugus Creek,"total length of select tribs, fr Gowanda to Springville",Niagara River/Lake Erie,130.99,838,C
Streams,0104-0075,Ont 158..E-23-43 thru 47,Minor Tribs to Cattaraugus Creek,"total length of sel. tribs, fr Springville to Still Cor",Niagara River/Lake Erie,68.44,838,C
Streams,0105-0001,Ont 158..E-68,"Chautauqua Creek, Lower, and minor tribs","stream and selected tribs, fr mouth to near Minton Res",Niagara River/Lake Erie,6,839,C(T)
Streams,0105-0003,Ont 158..E-96,Twentymile Creek and minor tribs,entire stream and selected tribs,Niagara River/Lake Erie,59.49,839,C(T)
Streams,0105-0006,Ont 158..E-25- 1,"Walnut Creek, Lower, and tribs","stream and tribs, from the mouth to Forestville",Niagara River/Lake Erie,25.13,836,C
Streams,0105-0007,Ont 158..E-25,"Silver Creek, Lower, and minor tribs","stream and selected tribs, from mouth to Smith Mills",Niagara River/Lake Erie,21.71,836,C(T)
Streams,0105-0008,Ont 158..E-37,"Canadaway Creek, Lower, and tribs","stream and tribs, from mouth to Shumla",Niagara River/Lake Erie,36.77,839,B
Streams,0105-0010,Ont 158..E-50,Slippery Rock Creek and tribs,entire stream and tribs,Niagara River/Lake Erie,11.32,839,C
Streams,0105-0012,Ont 158..E-25,"Silver Creek, Upper, and tribs","stream and tribs, above Smith Mills",Niagara River/Lake Erie,32.68,821,A
Streams,0105-0013,Ont 158..E-25- 1,"Walnut Creek, Upper, and tribs","stream and tribs, above Forestville",Niagara River/Lake Erie,36.86,836,C(T)
Streams,0105-0015,Ont 158..E-26 thru 41 (selected),Minor Tribs to Lake Erie,"total length of selected tribs, Silver Cr to L.Canadawy",Niagara River/Lake Erie,29.79,839,C
Streams,0105-0016,Ont 158..E-31,Beaver Creek and tribs,entire stream and tribs,Niagara River/Lake Erie,14.92,839,C
Streams,0105-0017,Ont 158..E-32,Scott Creek and tribs,entire stream and tribs,Niagara River/Lake Erie,14.03,839,C
Streams,0105-0018,Ont 158..E-34,Hyde Creek and tribs,entire stream and tribs,Niagara River/Lake Erie,6.38,839,C
Streams,0105-0019,Ont 158..E-36,Crooked Brook and tribs,entire stream and tribs,Niagara River/Lake Erie,8.13,839,C
Streams,0105-0020,Ont 158..E-37,"Canadaway Creek, Upper, and tribs","stream and tribs, above Shumla",Niagara River/Lake Erie,30.45,839,B
Streams,0105-0022,Ont 158..E-37- 7-P160-,Tribs to Fredonia Reservoir,total length of all tribs to Fredonia Reservoir,Niagara River/Lake Erie,14.2,839,A
Streams,0105-0023,Ont 158..E-43,Little Canadaway Creek and tribs,entire stream and tribs,Niagara River/Lake Erie,15.79,839,C
Streams,0105-0024,Ont 158..E-44 thru 67 (selected),Minor Tribs to Lake Erie,"total length of selected tribs, L.Canadawy to Chautaqua",Niagara River/Lake Erie,74.43,839,C
Streams,0105-0026,Ont 158..E-50-P160k-,Tribs to Brocton Reservoir,total length of all tribs to Brocton Reservoir,Niagara River/Lake Erie,5.46,876,A
Streams,0105-0027,Ont 158..E-68,"Chautauqua Creek, Upper and tribs","stream and selected tribs, above Minton Reservoir",Niagara River/Lake Erie,56.51,839,A(T)
Streams,0105-0028,Ont 158..E-68- 1,Little Chautauqua Creek and tribs,entire stream and tribs,Niagara River/Lake Erie,18.65,847,C(T)
Streams,0105-0030,Ont 158..E-69 thru 95,Minor Tribs to Lake Erie,"total length of selected tribs, Chautauqua to 20-mile",Niagara River/Lake Erie,88.45,839,C
Streams,0105-0031,Ont 158..E-96- 3,Upper Belson Creek/Gage Gulf and tribs,stream and tribs,Niagara River/Lake Erie,5.19,839,A
Streams,0105-0032,Ont 158..E-97,unnamed tribs to Pennsylvania,entire stream and tribs,Niagara River/Lake Erie,3.1,839,C
Streams,0201-0001,Pa-53..Pa-39,"Little Genesee Creek, Lower, and tribs","stream and tribs, from mouth to Bolivar",Allegheny River,42.96,802,C(T)
Streams,0201-0002,Pa-53-36,Tunungwant (Tuna) Creek and tribs,entire stream and minor tribs,Allegheny River,47.79,802,C
Streams,0201-0009,Pa-53-57,Haskell Creek and tribs,entire stream and tribs,Allegheny River,87.73,802,C(T)
Streams,0201-0012,Pa-53-25,"Great Valley Cr, Middle, and minor tribs","stream and tribs, from Great Valley to Ellicottville",Allegheny River,43.29,802,C(T)
Streams,0201-0013,Pa-53-21,"Little Valley Creek, Lower, and tribs","stream and tribs, from mouth to Elkdale",Allegheny River,59.63,802,C(T)
Streams,0201-0014,Pa-53-11,"Cold Spring Creek, Lower, and tribs","stream and tribs, from mouth to Napoli",Allegheny River,33.57,802,C
Streams,0201-0017,Pa-53-54,"Olean Creek, Lower, and tribs","stream and tribs, from mouth to Baldwin Heights",Allegheny River,9.51,801,C
Streams,0201-0021,Pa-53..Pa-32,Honeoye Creek and tribs,entire stream and tribs,Allegheny River,30.79,802,C
Streams,0201-0022,Pa-43 thru 50,Minor Tribs to Pennsylvania,total length of selected/smaller tribs to Pennsylvania,Allegheny River,30.65,802,C
Streams,0201-0024,Pa-53 (portion 2),"Allegheny River, Main Stem",from Salamanca to Vandalia,Allegheny River,13.27,802,B
Streams,0201-0025,Pa-53 (portion 3),"Allegheny River, Main Stem",from Vandalia to Olean,Allegheny River,8.03,802,C
Streams,0201-0026,Pa-53 (portion 4),"Allegheny River, Main Stem",from Olean to NY-Pa state line,Allegheny River,8.38,802,C
Streams,0201-0027,Pa-53- 1 thru 20 (selected),"Minor Tribs to Allegheny Reservoir, west","total length of selected tribs to reservoir, from west",Allegheny River,9.89,802,C
Streams,0201-0027,Pa-53- 1 thru 20 (selected),"Minor Tribs to Allegheny Reservoir, west","total length of selected tribs to reservoir, from west",Allegheny River,116.96,802,C
Streams,0201-0028,Pa-53- 3 thru 19 (selected),"Minor Tribs to Allegheny Reservior, east","total length of selected tribs to reservoir, from east",Allegheny River,49.46,802,B
Streams,0201-0029,Pa-53- 8,Quaker Run and tribs,entire stream and tribs,Allegheny River,67.47,802,B(T)
Streams,0201-0031,Pa-53-11,"Cold Spring Creek, Upper, and tribs","stream and tribs, above Napoli",Allegheny River,25.18,802,C
Streams,0201-0032,Pa-53-15,Red House Brook and tribs,entire stream and tribs,Allegheny River,86.91,802,B
Streams,0201-0034,Pa-53-21,"Little Valley Creek, Upper, and tribs","stream and tribs, above Elkdale",Allegheny River,37.46,802,C(T)
Streams,0201-0036,Pa-53-22 thru 33 (selected),Minor Tribs to Allegheny River,"total length of selected upper tribs, within state park",Allegheny River,25.76,802,B
Streams,0201-0037,Pa-53-22 thru 43 (selected),Minor Tribs to Allegheny River,"total length of selected tribs, Salamanca to Vandalia",Allegheny River,81.58,802,C
Streams,0201-0038,Pa-53-23,"Salamanca Water Supply Trib, Upper","stream and tribs, above Salamance waterworks",Allegheny River,4.06,802,AA
Streams,0201-0039,Pa-53-25,"Great Valley Cr, Lower, and minor tribs","stream and minor tribs, from mouth to Great Valley",Allegheny River,50.03,802,C(T)
Streams,0201-0040,Pa-53-25,"Great Valley Cr, Upper, and tribs","stream and tribs, above Ellicottville",Allegheny River,97.15,802,C(T)
Streams,0201-0041,Pa-53-25- 6,Wrights Creek and tribs,entire stream and tribs,Allegheny River,96.57,802,C(T)
Streams,0201-0042,Pa-53-25-11,Forks Creek and tribs,entire stream and tribs,Allegheny River,70.07,802,C(T)
Streams,0201-0043,Pa-53-36- 1 thru 12 (selected),"Minor Tribs to Tunungwant Creek, Class B","total length of selected tribs, within state park",Allegheny River,35.67,802,B
Streams,0201-0044,Pa-53-39,Chipmunk Creek and tribs,entire stream and tribs,Allegheny River,35.2,802,C
Streams,0201-0045,Pa-53-42,Ninemile Creek and tribs,entire stream and tribs,Allegheny River,22.42,802,C
Streams,0201-0046,Pa-53-44 thru 53 (selected),Minor Tribs to Allegheny River,"total length of selected tribs, from Vandalia to Olean",Allegheny River,35.86,802,C
Streams,0201-0047,Pa-53-47,Fivemile Creek and tribs,entire stream and tribs,Allegheny River,100,802,C
Streams,0201-0049,Pa-53-48,Fourmile Creek and tribs,entire stream and tribs,Allegheny River,33.42,802,C(T)
Streams,0201-0050,Pa-53-54,"Olean Creek, Upper, and tribs","stream and tribs, from Baldwin Heights to Hinsdale",Allegheny River,57.98,801,A
Streams,0201-0051,Pa-53-54-10,"Ischua Creek, Lower, and tribs","stream and tribs, from mouth to Ischua",Allegheny River,30.06,801,A
Streams,0201-0052,Pa-53-54-10,"Ischua Creek, Middle, and minor tribs","stream and tribs, from Ischua to Franklinville",Allegheny River,81.54,801,C(T)
Streams,0201-0053,Pa-53-54-10,"Ischua Creek, Upper, and tribs","stream and tribs, above Franklinville",Allegheny River,106.66,801,C(T)
Streams,0201-0054,Pa-53-54-10-22,Gates Creek and tribs,entire stream and tribs,Allegheny River,37.09,801,C
Streams,0201-0056,Pa-53-54-11,"Oil Creek, Lower, and tribs","stream and tribs, from mouth to Cuba Lake Outlet",Allegheny River,23.5,801,A
Streams,0201-0057,Pa-53-54-11,"Oil Creek, Upper, and tribs","stream and tribs, above Cuba Lake Outlet",Allegheny River,32.73,801,C
Streams,0201-0058,Pa-53-54-11- 5,Cuba Lake Outlet,entire stream,Allegheny River,3.02,801,C
Streams,0201-0059,Pa-53-54-11- 5-P115-,Minor Tribs to Cuba Lake,total length of minor tribs to to Cuba Lake,Allegheny River,23.72,801,C
Streams,0201-0060,Pa-53-54-11- 5-P115-(2a),Rawson Creek and tribs,entire stream and tribs,Allegheny River,24.66,801,C
Streams,0201-0061,Pa-53-54-11- 6,Griffin Creek and tribs,entire stream and tribs,Allegheny River,32.02,801,C
Streams,0201-0063,Pa-53-55 thru 67 (selected),Minor Tribs to Allegheny River,"total length of selected tribs, fr Olean to NY-Pa line",Allegheny River,50.11,802,C
Streams,0201-0065,Pa-53-63,"Dodge Creek, Lower, and tribs","stream and tribs, from mouth to near Obi",Allegheny River,26.94,802,C
Streams,0201-0066,Pa-53-63,"Dodge Creek, Upper, and tribs","stream and tribs, above Obi",Allegheny River,60.62,802,C
Streams,0201-0067,Pa-53-63- 6,Wolf Creek and tribs,entire stream and tribs,Allegheny River,18.04,802,C(T)
Streams,0201-0068,Pa-53-64,Oswayo Creek and tribs,"entire stream and tribs, within NYS",Allegheny River,28.76,802,C
Streams,0201-0069,Pa-53..Pa-33 thru 38,Minor Tribs to Pennsylvania,total length of selected/smaller tribs to Pennsylvania,Allegheny River,24.4,802,C
Streams,0201-0070,Pa-53..Pa-39,"Little Genesee Creek, Upper, and tribs","stream and tribs, above Bolivar",Allegheny River,45.37,802,C(T)
Streams,0201-0071,Pa-54 thru 57,Minor Tribs to Pennsylvania,total length of selected/smaller tribs to Pennsylvania,Allegheny River,0.82,802,C
Streams,0202-0005,Pa-77,Brokenstraw Creek and minor tribs,entire stream and selected tribs,Allegheny River,23.44,800,C
Streams,0202-0006,Pa-63,"Conewango Creek, Middle, and minor tribs","stream and selected tribs, fr abv Frewsburg to nr Pope",Allegheny River,62.33,800,C
Streams,0202-0007,Pa-63- 5,"Stillwater Creek, Lower, and tribs","stream and tribs, from mouth to Stillwater",Allegheny River,15.32,800,B
Streams,0202-0012,Pa-63-13,"Cassadaga Creek, Lower, and minor tribs","stream and tribs, from mouth to Falconer",Allegheny River,15.86,800,C
Streams,0202-0014,Pa-63,"Conewango Creek, Lower, and minor tribs","stream and selected tribs, from mouth to abv Frewsburg",Allegheny River,77.89,800,C
Streams,0202-0015,Pa-81,"French Creek, Lower, and minor tribs","stream and selected tribs, from mouth to French Creek",Allegheny River,32.11,800,A
Streams,0202-0017,Pa-63,"Conewango Creek, Upper, and minor tribs","stream and selected tribs, above Pope",Allegheny River,176.9,800,C
Streams,0202-0018,Pa-63-13- 4,Chadakoin River and tribs,entire stream and selected tribs,Allegheny River,22.19,800,C
Streams,0202-0019,Pa-63-13-20,"Mill Creek, Lower, and tribs","stream and tribs, above Sinclairville",Allegheny River,19.64,800,C(T)
